Interprete;Sesso
Nilla Pizzi;F
Nilla Pizzi e Achille Togliani;G
Achille Togliani;M
Achille Togliani e Duo Fasano;G
Duo Fasano;G
Nilla Pizzi e Duo Fasano;G
Oscar Carboni;M
Gino Latilla;M
Carla Boni - Flo Sandon's;G
Nilla Pizzi e Doppio Quintetto Vocale - Teddy Reno e Quartetto Stars;G
Achille Togliani - Teddy Reno;G
Gino Latilla e Doppio Quintetto Vocale - Giorgio Consolini;G
Gino Latilla - Giorgio Consolini;G
Achille Togliani - Katyna Ranieri;G
Carla Boni - Quartetto Stars;G
Carla Boni - Katyna Ranieri;G
Nilla Pizzi - Teddy Reno;G
Katyna Ranieri - Achille Togliani;G
Gino Latilla - Teddy Reno;G
Achille Togliani - Giorgio Consolini;G
Nilla Pizzi - Flo Sandon's;G
Giorgio Consolini - Gino Latilla;G
Gino Latilla - Franco Ricci;G
Natalino Otto - Vittoria Mongardi;G
Flo Sandon's - Carla Boni;G
Quartetto Cetra - Vittoria Mongardi e Duo Fasano;G
Gino Latilla e Duo Fasano - Katyna Ranieri e Giorgio Consolini;G
Achille Togliani - Natalino Otto;G
Achille Togliani - Flo Sandon's e Natalino Otto;G
Vittoria Mongardi - Flo Sandon's;G
Carla Boni, Gino Latilla e Duo Fasano - Quartetto Cetra;G
Carla Boni e Duo Fasano - Giorgio Consolini;G
Gino Latilla e Duo Fasano - Quartetto Cetra;G
Carla Boni e Duo Fasano - Quartetto Cetra;G
Achille Togliani - Gianni Ravera;G
Duo Fasano e Gino Latilla - Quartetto Cetra;G
Katyna Ranieri - Vittoria Mongardi;G
Carla Boni - Quartetto Cetra;G
Gino Latilla - Natalino Otto;G
Claudio Villa - Tullio Pane;G
Natalino Otto e Trio Aurora - Bruno Pallesi, Nuccia Bongiovanni e Radio Boys;G
Claudio Villa - Narciso Parigi;G
Antonio Basurto - Gianni Ravera;G
Jula de Palma - Marisa Colomber;G
Narciso Parigi e Radio Boys - Natalino Otto e Trio Aurora;G
Natalino Otto - Antonio Basurto;G
Jula de Palma - Antonio Basurto;G
Bruno Pallesi - Jula de Palma;G
Clara Jaione e Radio Boys - Nella Colombo, Bruno Rosettani e Trio Aurora;G
Natalino Otto - Nuccia Bongiovanni e Radio Boys;G
Bruno Pallesi e Nuccia Bongiovanni - Bruno Rosettani, Nella Colombo e Trio Aurora;G
Gianni Ravera - Tullio Pane;G
Bruno Rosettani e Trio Aurora - Clara Jaione e Radio Boys;G
Franca Raimondi;F
Tonina Torrielli;F
Luciana Gonzales;F
Ugo Molinari;M
Gianni Marzocchi;M
Gianni Marzocchi e Clara Vincenzi;G
Clara Vincenzi;F
Gianni Marzocchi e Franca Raimondi;G
Franca Raimondi e Clara Vincenzi;G
Claudio Villa - Nunzio Gallo;G
Claudio Villa - Giorgio Consolini;G
