Interprete,Sesso
Nilla Pizzi,F
Nilla Pizzi e Achille Togliani,F;M
Achille Togliani,M
Achille Togliani e Duo Fasano,M;M
Duo Fasano,M
Nilla Pizzi e Duo Fasano,F;M
Oscar Carboni,M
Gino Latilla,M
Carla Boni - Flo Sandon's,F;F
Nilla Pizzi e Doppio Quintetto Vocale - Teddy Reno e Quartetto Stars,F;M;M
Achille Togliani - Teddy Reno,M;M
Gino Latilla e Doppio Quintetto Vocale - Giorgio Consolini,M;M
Gino Latilla - Giorgio Consolini,M;M
Achille Togliani - Katyna Ranieri,M;F
Carla Boni - Quartetto Stars,F;M
Carla Boni - Katyna Ranieri,F;F
Nilla Pizzi - Teddy Reno,F;M
Katyna Ranieri - Achille Togliani,F;M
Gino Latilla - Teddy Reno,M;M
Achille Togliani - Giorgio Consolini,M;M
Nilla Pizzi - Flo Sandon's,F;F
Giorgio Consolini - Gino Latilla,M;M
Gino Latilla - Franco Ricci,M;M
Natalino Otto - Vittoria Mongardi,M;F
Flo Sandon's - Carla Boni,F;F
Quartetto Cetra - Vittoria Mongardi e Duo Fasano,M;F;M
Gino Latilla e Duo Fasano - Katyna Ranieri e Giorgio Consolini,M;M;F;M
Achille Togliani - Natalino Otto,M;M
Achille Togliani - Flo Sandon's e Natalino Otto,M;F;M
Vittoria Mongardi - Flo Sandon's,F;F
Carla Boni, Gino Latilla e Duo Fasano - Quartetto Cetra,F;M;M;M
Carla Boni e Duo Fasano - Giorgio Consolini,F;M;M
Gino Latilla e Duo Fasano - Quartetto Cetra,M;M;M
Carla Boni e Duo Fasano - Quartetto Cetra,F;M;M
Achille Togliani - Gianni Ravera,M;M
Duo Fasano e Gino Latilla - Quartetto Cetra,M;M;M
Katyna Ranieri - Vittoria Mongardi,F;F
Carla Boni - Quartetto Cetra,F;M
Gino Latilla - Natalino Otto,M;M
Claudio Villa - Tullio Pane,M;M
Natalino Otto e Trio Aurora - Bruno Pallesi, Nuccia Bongiovanni e Radio Boys,M;M;F;M
Claudio Villa - Narciso Parigi,M;M
Antonio Basurto - Gianni Ravera,M;M
Jula de Palma - Marisa Colomber,F;F
Narciso Parigi e Radio Boys - Natalino Otto e Trio Aurora,M;M;M;M
Natalino Otto - Antonio Basurto,M;M
Jula de Palma - Antonio Basurto,F;M
Bruno Pallesi - Jula de Palma,M;F
Clara Jaione e Radio Boys - Nella Colombo, Bruno Rosettani e Trio Aurora,F;M;F;M;M
Natalino Otto - Nuccia Bongiovanni e Radio Boys,M;F;M
Bruno Pallesi e Nuccia Bongiovanni - Bruno Rosettani, Nella Colombo e Trio Aurora,M;F;M;F;M
Gianni Ravera - Tullio Pane,M;M
Bruno Rosettani e Trio Aurora - Clara Jaione e Radio Boys,M;M;F;M
Franca Raimondi,F
Tonina Torrielli,F
Luciana Gonzales,F
Ugo Molinari,M
Gianni Marzocchi,M
Gianni Marzocchi e Clara Vincenzi,M;F
Clara Vincenzi,F
Gianni Marzocchi e Franca Raimondi,M;F
Franca Raimondi e Clara Vincenzi,F;F
Claudio Villa - Nunzio Gallo,M;M
Claudio Villa - Giorgio Consolini,M;M
Gino Latilla - Tonina Torrielli,M;F
Carla Boni, Gino Latilla e Duo Fasano - Gloria Christian e Poker di Voci,F;M;M;F;M
Claudio Villa e Gino Latilla - Natalino Otto e Poker di Voci,M;M;M;M
Tina Allori - Tonina Torrielli,F;F
Carla Boni - Nunzio Gallo,F;M
