Interprete,Sesso
Eduardo De Crescenzo,M
Sterling Saint-Jacques,M
Fiorella Mannoia,F
Carmen & Thompson,F;M
Stefano Tosi,M
Gianni Bella,M
Sebastiano Occhino,M
Jò Chiarello,F
Tom Hooker,M
Domenico Mattia,M
Franco Fasano,M
Al Bano e Romina Power,M;F
Giuseppe Cionfoli,M
Christian,M
Jimmy Fontana,M
Lene Lovich,F
Elisabetta Viviani,F
Mia Martini,F
Stefano Sani,M
Le Orme,M
Riccardo Del Turco,M
Plastic Bertrand,M
Milk & Coffee,M;F
Viola Valentino,F
Mal,M
Mario Castelnuovo,M
Roberto Soffici,M
Zucchero Fornaciari,M
Vasco Rossi,M
Rino Martinez,M
Marina Lai,F
Julie,F
Claudio Villa,M
Piero Cassano,M
Fiordaliso,F
Tiziana Rivale,F
Donatella Milani,F
Dori Ghezzi,F
Amii Stewart,F
Marco Armani,M
Giorgia Fiorio,F
Flavia Fortunato,F
Bertín Osborne,M
Riccardo Azzurri,M
Richard Sanderson,M
Zucchero,M
Barbara Boncompagni,F
Daniela Goggi,F
Pinot,M
Brunella Borciani,F
Patrizia Danzi,F
Nino Buonocore,M
Sibilla,F
Alessio Colombini,M
Manuele Pepe,M
Amedeo Minghi,M
Patty Pravo,F
Gruppo Italiano,M
Marisa Sannia,F
Alberto Camerini,M
Garbo,F
Enrico Ruggeri,M
Stadio,M
Luis Miguel,M
Eros Ramazzotti,M
Banco del Mutuo Soccorso,M
Ivan Graziani,M
Eugenio Finardi,M
Mimmo Locasciulli,M
New Trolls,M
Zucchero Fornaciari & Randy Jackson Band,M;M
Renzo Arbore,M
Nino D'Angelo,M
Fred Bongusto,M
Loredana Bertè,F
Rettore,F
Mango,M
Righeira,M
Scialpi,M
Rossana Casale,F
Gianni Morandi, Enrico Ruggeri e Umberto Tozzi,M;M;M
Lena Biolcati,F
Tony Esposito,M
Sergio Caputo,M
Massimo Ranieri,M
Fiordaliso con Claudio Cabrini,F;M
Raf,M
Francesco Nuti,M
Franco Califano,M
Figli di Bubba,M
Tullio De Piscopo,M
Ron,M
Denovo,M
Alan Sorrenti,M
Anna Oxa e Fausto Leali,F;M
Jovanotti,M
Francesco Salvi,M
Ornella Vanoni,F
Marisa Laurito,F
Gino Paoli,M
Renato Carosone,M
Enzo Jannacci,M
Gigi Sabani,M
Pooh,M
Amedeo Minghi e Mietta,M;F
Marcella e Gianni Bella,F;M
Caterina Caselli,F
Paola Turci,F
Grazia Di Michele,F
Eugenio Bennato e Tony Esposito,M;M
Riccardo Cocciante,M
Renato Zero,M
Marco Masini,M
Umberto Tozzi,M
Pierangelo Bertoli e Tazenda,M;M
Mietta,F
Jo Squillo e Sabrina Salerno,F;F
Ladri di Biciclette,M
Mariella Nava,F
Paolo Vallesi,M
Pierangelo Bertoli,M
Franco Fasano e Flavia Fortunato,M;F
Tazenda,M
Peppino di Capri e Pietra Montecorvino,M;F
Lina Sastri,F
Paolo Mengoli,M
Enzo Ghinazzi,M
Nuova Compagnia di Canto Popolare,M
Giorgio Faletti e Orietta Berti,M;F
Formula 3,M
Cristiano De Andrè,M
Rossana Casale e Grazia Di Michele,F;F
Mietta e Ragazzi di Via Meda,F;M
Biagio Antonacci,M
Francesca Alotta,F
Andrea Mingardi,M
Roberto Murolo,M
Loredana Bertè e Mia Martini,F;F
Jo Squillo,F
Ladri di Biciclette e Tony Esposito,M;M
Maurizio Vandelli, Dik Dik e Camaleonti,M;M;M
Alessandro Canino,M
Aleandro Baldi,M
Giorgio Faletti,M
Laura Pausini,F
