Interprete
Eduardo De Crescenzo
Sterling Saint-Jacques
Fiorella Mannoia
Carmen & Thompson
Stefano Tosi
Gianni Bella
Sebastiano Occhino
Jò Chiarello
Tom Hooker
Domenico Mattia
Franco Fasano
Al Bano e Romina Power
Giuseppe Cionfoli
Christian
Jimmy Fontana
Lene Lovich
Elisabetta Viviani
Mia Martini
Stefano Sani
Le Orme
Riccardo Del Turco
Plastic Bertrand
Milk & Coffee
Viola Valentino
Mal
Mario Castelnuovo
Roberto Soffici
Zucchero Fornaciari
Vasco Rossi
Rino Martinez
Marina Lai
Julie
Claudio Villa
Piero Cassano
Fiordaliso
Tiziana Rivale
Donatella Milani
Dori Ghezzi
Amii Stewart
Marco Armani
Giorgia Fiorio
Flavia Fortunato
Bertín Osborne
Riccardo Azzurri
Richard Sanderson
Zucchero
Barbara Boncompagni
Daniela Goggi
Pinot
Brunella Borciani
Patrizia Danzi
Nino Buonocore
Sibilla
Alessio Colombini
Manuele Pepe
Amedeo Minghi
Patty Pravo
Gruppo Italiano
Marisa Sannia
Alberto Camerini
Garbo
Enrico Ruggeri
Stadio
Luis Miguel
Eros Ramazzotti
Banco del Mutuo Soccorso
Ivan Graziani
Eugenio Finardi
Mimmo Locasciulli
New Trolls
Zucchero Fornaciari & Randy Jackson Band
Renzo Arbore
Nino D'Angelo
Fred Bongusto
Loredana Bertè
Rettore
Mango
Righeira
Scialpi
Rossana Casale
Gianni Morandi, Enrico Ruggeri e Umberto Tozzi
Lena Biolcati
Tony Esposito
Sergio Caputo
Massimo Ranieri
Fiordaliso con Claudio Cabrini
Raf
Francesco Nuti
Franco Califano
Figli di Bubba
Tullio De Piscopo
Ron
Denovo
Alan Sorrenti
Anna Oxa e Fausto Leali
Jovanotti
Francesco Salvi
Ornella Vanoni
Marisa Laurito
Gino Paoli
Renato Carosone
Enzo Jannacci
Gigi Sabani
Pooh
Amedeo Minghi e Mietta
Marcella e Gianni Bella
Caterina Caselli
Paola Turci
Grazia Di Michele
Eugenio Bennato e Tony Esposito
Riccardo Cocciante
Renato Zero
Marco Masini
Umberto Tozzi
Pierangelo Bertoli e Tazenda
Mietta
Jo Squillo e Sabrina Salerno
Ladri di Biciclette
Mariella Nava
Paolo Vallesi
Pierangelo Bertoli
Franco Fasano e Flavia Fortunato
Tazenda
Peppino di Capri e Pietra Montecorvino
Lina Sastri
Paolo Mengoli
Enzo Ghinazzi
Nuova Compagnia di Canto Popolare
Giorgio Faletti e Orietta Berti
Formula 3
Cristiano De Andrè
Rossana Casale e Grazia Di Michele
Mietta e Ragazzi di Via Meda
Biagio Antonacci
Francesca Alotta
Andrea Mingardi
Roberto Murolo
Loredana Bertè e Mia Martini
Jo Squillo
Ladri di Biciclette e Tony Esposito
Maurizio Vandelli, Dik Dik e Camaleonti
Alessandro Canino
Aleandro Baldi
Giorgio Faletti
Laura Pausini
Gerardina Trovato
Enzo Jannacci e Paolo Rossi
Alessandro Bono
Claudia Mori
Carlo Marrale
Squadra Italia
Giorgia
Gianni Morandi e Barbara Cola
Ivana Spagna
Andrea Bocelli
Fiorello
Danilo Amerio
Lighea
883
Antonella Arancio
Lorella Cuccarini
Trio Melody
Sabina Guzzanti e La Riserva Indiana
Francesca Schiavo
Valeria Visconti
Giò Di Tonno
Ron (con Tosca non accreditata)
Elio e le Storie Tese
Neri per Caso
Massimo Di Cataldo
Aleandro Baldi e Marco Guerzoni
Federico Salvatore
Rossella Marcone
Raffaella Cavalli
Gigi Finizio
Umberto Bindi e New Trolls
Dhamm
Mara
Fedele Boccassini
Jalisse
Syria
Silvia Salemi
O.R.O.
Nek
Tosca
Francesco Baccini
Dirotta su Cuba
Marina Rei
Cattivi Pensieri
Pitura Freska
Ragazzi Italiani
New Trolls e Greta
Alessandro Mara
Camilla
Carmen Consoli
Alessandro Errico
Leandro Barsotti
Maurizio Lauzi
Olivia
Adriana Ruocco
Petra Magoni
Annalisa Minetti
Antonella Ruggiero
Lisa
Mango e Zenîma
Luca Sepe
Niccolò Fabi
Alex Baroni
Spagna
Piccola Orchestra Avion Travel
Paola & Chiara
Enzo Gragnaniello con Ornella Vanoni
Daniele Silvestri
Gatto Panceri
Gianluca Grignani
Irene Grandi
Max Gazzè
Samuele Bersani
Gigi D'Alessio
Subsonica
Mariella Nava e Amedeo Minghi
Elisa
Jenny B
Alex Britti
Fabio Concato
Sottotono
Quintorigo
Bluvertigo
Alexia
Fausto Leali e Luisa Corna
Filippa Giordano
Francesco Renga
Gazosa
Alessandro Safina
Lollipop
Timoria
Sergio Cammariere
Enrico Ruggeri e Andrea Mirò
Giuni Russo
Cristiano De André
Eiffel 65
Bobby Solo e Little Tony
Anna Tatangelo e Federico Stragà
Negrita
Mario Rosini
Linda
Paolo Meneguzzi
Bungaro
Massimo Modugno e Gipsy Kings
Stefano Picchi
Morris Albert e Mietta
Neffa
Mario Venuti
DJ Francesco
Simone Tomassini
DB Boulevard e Bill Wyman
Andrea Mingardi e The Blues Brothers Band
Omar Pedrini
Daniele Groff
Adriano Pappalardo
Veruska
Andrè
Danny Losito e Las Ketchup
Pacifico
Piotta
Toto Cutugno con Annalisa Minetti
Nicky Nicolai e Stefano Di Battista Jazz Quartet
Laura Bono
La Differenza
Veronica Ventavoli
Le Vibrazioni
Anna Tatangelo
DJ Francesco Band
Nicola Arigliano
Giovanna D'Angi
Max De Angelis
Equ
Velvet
Christian Lo Zito
Sabrina Guida
Modà
Concido
Enrico Boccadoro
Negramaro
Povia
Nomadi
Riccardo Maffoni
Simone Cristicchi
Dolcenera
Zero Assoluto
Simona Bencini
Nicky Nicolai
I Ragazzi di Scampia con Gigi Finizio
Sugarfree
Monia Russo
L'Aura
Helena Hellwig
Tiziano Orecchio
Noa, Carlo Fava & Solis String Quartet
Luca Dirisio
Andrea Ori
Ameba 4
Ivan Segreto
Mario Venuti e Arancia Sonora
Antonello
Deasonika
Virginio
Piero Mazzocchetti
Francesco con Roby Facchinetti
Amalia Gré
Paolo Rossi
Johnny Dorelli
Leda Battisti
Giò Di Tonno e Lola Ponce
Fabrizio Moro
Finley
Eugenio Bennato
Frankie hi-nrg mc
Tricarico
Tiromancino
Marco Carta
Sal Da Vinci
Alexia feat. Mario Lavezzi
Pupo, Paolo Belli e Youssou N'Dour
Gemelli DiVersi
Nicky Nicolai e Stefano Di Battista
Afterhours
Valerio Scanu
Pupo ed Emanuele Filiberto con Luca Canonici
Marco Mengoni
Noemi
Malika Ayane
Irene Fornaciari feat. Nomadi
Arisa
Nino D'Angelo con Maria Nazionale
Sonohra
Modà con Emma
Davide Van De Sfroos
Luca Madonia con Franco Battiato
La Crus
Nathalie
Luca Barbarossa e Raquel del Rosario
Giusy Ferreri
Max Pezzali
Emma
Gigi D'Alessio e Loredana Bertè
Pierdavide Carone e Lucio Dalla
Nina Zilli
Chiara Civello
Irene Fornaciari
Marlene Kuntz
Raphael Gualazzi
Chiara
Annalisa
Maria Nazionale
Marta sui Tubi
Simona Molinari con Peter Cincotti
Almamegretta
Raphael Gualazzi & The Bloody Beetroots
Renzo Rubino
Perturbazione
Francesco Sarcina
Giuliano Palma
Riccardo Sinigallia
Il Volo
Dear Jack
Lorenzo Fragola
Nesli
Bianca Atzei
Moreno
Grazia Di Michele e Mauro Coruzzi
Biggio e Mandelli
Lara Fabian
Francesca Michielin
Giovanni Caccamo e Deborah Iurato
Clementino
Rocco Hunt
Alessio Bernabei
Francesco Gabbani
Ermal Meta
Michele Bravi
Sergio Sylvestre
Elodie
Samuel
Lodovica Comello
Nesli & Alice Paba
Raige e Giulia Luzi
Ermal Meta e Fabrizio Moro
Lo Stato Sociale
Ornella Vanoni con Bungaro e Pacifico
Diodato e Roy Paci
The Kolors
Giovanni Caccamo
Enzo Avitabile con Peppe Servillo
Red Canzian
Roby Facchinetti e Riccardo Fogli
Mario Biondi
Mahmood
Ultimo
Irama
Achille Lauro
Enrico Nigiotti
Boomdabash
Ghemon
Ex-Otago
Motta
The Zen Circus
Federica Carta e Shade
Patty Pravo con Briga
Einar
Nino D'Angelo e Livio Cori
Diodato
Pinguini Tattici Nucleari
Piero Pelù
Rancore
Levante
Anastasio
Alberto Urso
Paolo Jannacci
Giordana Angi
Elettra Lamborghini
Junior Cally
Riki
Bugo e Morgan
Måneskin
Francesca Michielin e Fedez
Colapesce Dimartino
Irama[20]
Willie Peyote
Madame
La Rappresentante di Lista
Extraliscio feat. Davide Toffolo
Fulminacci
Fasma
Gaia
Coma_Cose
Gio Evan
Bugo
Aiello
Random
Mahmood e Blanco
Sangiovanni
Dargen D'Amico
Matteo Romano
AKA 7even
Achille Lauro con Harlem Gospel Choir
Ditonellapiaga e Rettore
Rkomi
Giovanni Truppi
Highsnob e Hu
Yuman
Ana Mena
Tananai
Lazza
Mr. Rain
Rosa Chemical
Ariete
LDA
Articolo 31
Leo Gassmann
Mara Sattei
Colla Zio
Cugini di Campagna
Gianmaria
Olly
Will
Shari
Sethu
