Posizione,Interprete,Canzone,anno,Autori,Sesso,Tematiche,Pos
1º,Nilla Pizzi,Grazie dei fiori,1951,Gian Carlo Testoni e Mario Panzeri,F,"['grazie', 'fiori']",1
2º,Nilla Pizzi e Achille Togliani,La luna si veste d'argento,1951,Biri,G,"['luna', 'veste', 'argento']",2
3º,Achille Togliani,Serenata a nessuno,1951,Walter Colì,M,['serenata'],3
F,Achille Togliani e Duo Fasano,Al mercato di Pizzighettone,1951,Aldo Locatelli,G,"['mercato', 'pizzighettone']",F
F,Nilla Pizzi e Achille Togliani,Eco tra gli abeti,1951,Enzo Bonagura,G,"['eco', 'abeti']",F
F,Achille Togliani e Duo Fasano,Famme durmì,1951,Danpa,G,"['famme', 'durmì']",F
F,Duo Fasano,La cicogna distratta,1951,Aldo Valleroni e Da Rovere,G,"['cicogna', 'distratta']",F
F,Nilla Pizzi e Duo Fasano,La margherita,1951,Ester B. Valdes,G,['margherita'],F
F,Achille Togliani,Sedici anni,1951,Astro Mari,M,"['sedici', 'anni']",F
F,Duo Fasano,Sotto il mandorlo,1951,Gian Carlo Testoni e Mario Panzeri,G,"['sotto', 'mandorlo']",F
NF,Nilla Pizzi,È l'alba,1951,Gian Carlo Testoni,F,['alba'],NF
NF,Nilla Pizzi,Ho pianto una volta sola,1951,Pinchi,F,"['pianto', 'volta', 'sola']",NF
NF,Achille Togliani,Mai più,1951,Filippo Rolando,M,[],NF
NF,Achille Togliani,Mani che si cercano,1951,Giovanna Colombi,M,"['mani', 'cercano']",NF
NF,Nilla Pizzi,Mia cara Napoli,1951,Salvatore Mazzocco,F,"['cara', 'napoli']",NF
NF,Nilla Pizzi,Notte di Sanremo,1951,Enzo Luigi Poletto,F,"['notte', 'sanremo']",NF
NF,Duo Fasano,Oro di Napoli,1951,Umberto Bertini,G,"['oro', 'napoli']",NF
NF,Achille Togliani e Duo Fasano,Sei fatta per me,1951,Guido Quattrini,G,['fatta'],NF
NF,Duo Fasano,Sorrentinella,1951,Arrigo Giacomo Camosso,G,['sorrentinella'],NF
NF,Nilla Pizzi,Tutto è finito,1951,Otello Odorici,F,['finito'],NF
1º,Nilla Pizzi,Vola Colomba,1952,B. Cherubini e C. Concina,F,"['vola', 'colomba']",1
2º,Nilla Pizzi,Papaveri e papere,1952,"N. Rastelli, M. Panzeri e V. Mascheroni",F,"['papaveri', 'papere']",2
3º,Nilla Pizzi,Una donna prega,1952,Pinchi e V. Panzuti,F,"['donna', 'prega']",3
4º,Oscar Carboni,Madonna delle rose,1952,G. Fiorelli e M. Ruccione,M,"['madonna', 'rose']",4
5º,Gino Latilla,Un disco dall'Italia,1952,N. Salerno e G. D'Anzi,M,"['disco', 'dall', 'italia']",5
6º,Gino Latilla,L'attesa,1952,Biri e N. Ravasini,M,['attesa'],6
7º,Oscar Carboni,Perché le donne belle,1952,A. Sopranzi e G. Fassino,M,"['perché', 'donne', 'belle']",7
8º,Achille Togliani,Vecchie mura,1952,Filibello e P. E. Bassi,M,"['vecchie', 'mura']",8
9º,Achille Togliani,Libro di novelle,1952,L. Citi e M. Casini,M,"['libro', 'novelle']",9
