Posizione,Interprete,Canzone,anno,Autori,Sesso,Tematiche,Pos
1º,Nilla Pizzi,Grazie dei fiori,1951,Gian Carlo Testoni e Mario Panzeri,F,"['grazie', 'fiori']",1
2º,Nilla Pizzi e Achille Togliani,La luna si veste d'argento,1951,Biri,G,"['luna', 'veste', 'argento']",2
3º,Achille Togliani,Serenata a nessuno,1951,Walter Colì,M,['serenata'],3
1º,Nilla Pizzi,Vola Colomba,1952,B. Cherubini e C. Concina,F,"['vola', 'colomba']",1
2º,Nilla Pizzi,Papaveri e papere,1952,"N. Rastelli, M. Panzeri e V. Mascheroni",F,"['papaveri', 'papere']",2
3º,Nilla Pizzi,Una donna prega,1952,Pinchi e V. Panzuti,F,"['donna', 'prega']",3
4º,Oscar Carboni,Madonna delle rose,1952,G. Fiorelli e M. Ruccione,M,"['madonna', 'rose']",4
5º,Gino Latilla,Un disco dall'Italia,1952,N. Salerno e G. D'Anzi,M,"['disco', 'dall', 'italia']",5
6º,Gino Latilla,L'attesa,1952,Biri e N. Ravasini,M,['attesa'],6
7º,Oscar Carboni,Perché le donne belle,1952,A. Sopranzi e G. Fassino,M,"['perché', 'donne', 'belle']",7
8º,Achille Togliani,Vecchie mura,1952,Filibello e P. E. Bassi,M,"['vecchie', 'mura']",8
9º,Achille Togliani,Libro di novelle,1952,L. Citi e M. Casini,M,"['libro', 'novelle']",9
10º,Nilla Pizzi e Achille Togliani,Nel regno dei sogni,1952,A. Papetti e C. A. Rossi,G,"['regno', 'sogni']",10
1º,Carla Boni - Flo Sandon's,Viale d'autunno,1953,G. D'Anzi,G,"['viale', 'autunno']",1
2º,Nilla Pizzi e Doppio Quintetto Vocale - Teddy Reno e Quartetto Stars,Campanaro,1953,B. Cherubini e C. Concina,G,['campanaro'],2
3º (ex aequo),Achille Togliani - Teddy Reno,Lasciami cantare una canzone,1953,M. Cozzoli e C. A. Bixio,G,"['lasciami', 'cantare', 'canzone']",3
3º (ex aequo),Gino Latilla e Doppio Quintetto Vocale - Giorgio Consolini,Vecchio scarpone,1953,"Calibi, Pinchi e C. Donida",G,"['vecchio', 'scarpone']",3
5º,Gino Latilla - Giorgio Consolini,Vecchia villa comunale,1953,R. Ruocco e N. Oliviero,G,"['vecchia', 'villa', 'comunale']",5
6º,Achille Togliani - Katyna Ranieri,No Pierrot,1953,A. Costanzo e R. Salani,G,['pierrot'],6
7º,Carla Boni - Quartetto Stars,Il passerotto,1953,E. Di Lazzaro e D. Valentini,G,['passerotto'],7
8º,Nilla Pizzi e Doppio Quintetto Vocale - Teddy Reno e Quartetto Stars,Sussurrando buonanotte,1953,"Danpa, B. Pallesi e V. Panzuti",G,"['sussurrando', 'buonanotte']",8
9º,Gino Latilla e Doppio Quintetto Vocale - Giorgio Consolini,Tamburino del reggimento,1953,Deani,G,"['tamburino', 'reggimento']",9
10º,Nilla Pizzi e Doppio Quintetto Vocale - Teddy Reno e Quartetto Stars,Papà Pacifico,1953,N. Rastelli e A. Fragna,G,"['papà', 'pacifico']",10
1º,Giorgio Consolini - Gino Latilla,Tutte le mamme,1954,U. Bertini e E. Falcocchio,G,['mamme'],1
