Posizione,Interprete,Canzone,anno,Autori,Sesso,Tematiche,Pos,FlagAmore
1º,Nilla Pizzi,Grazie dei fiori,1951,Gian Carlo Testoni e Mario Panzeri,F,"['grazie', 'fiori']",1,False
2º,Nilla Pizzi e Achille Togliani,La luna si veste d'argento,1951,Biri,G,"['luna', 'veste', 'argento']",2,False
3º,Achille Togliani,Serenata a nessuno,1951,Walter Colì,M,['serenata'],3,False
1º,Nilla Pizzi,Vola Colomba,1952,B. Cherubini e C. Concina,F,"['vola', 'colomba']",1,False
2º,Nilla Pizzi,Papaveri e papere,1952,"N. Rastelli, M. Panzeri e V. Mascheroni",F,"['papaveri', 'papere']",2,False
3º,Nilla Pizzi,Una donna prega,1952,Pinchi e V. Panzuti,F,"['donna', 'prega']",3,False
1º,Carla Boni - Flo Sandon's,Viale d'autunno,1953,G. D'Anzi,G,"['viale', 'autunno']",1,False
2º,Nilla Pizzi e Doppio Quintetto Vocale - Teddy Reno e Quartetto Stars,Campanaro,1953,B. Cherubini e C. Concina,G,['campanaro'],2,False
3º (ex aequo),Achille Togliani - Teddy Reno,Lasciami cantare una canzone,1953,M. Cozzoli e C. A. Bixio,G,"['lasciami', 'cantare', 'canzone']",3,False
3º (ex aequo),Gino Latilla e Doppio Quintetto Vocale - Giorgio Consolini,Vecchio scarpone,1953,"Calibi, Pinchi e C. Donida",G,"['vecchio', 'scarpone']",3,False
1º,Giorgio Consolini - Gino Latilla,Tutte le mamme,1954,U. Bertini e E. Falcocchio,G,['mamme'],1,False
2º,Katyna Ranieri - Achille Togliani,Canzone da due soldi,1954,Pinchi e C. Donida,G,"['canzone', 'soldi']",2,False
3º,Gino Latilla - Franco Ricci,...e la barca tornò sola,1954,M. Ruccione,G,"['barca', 'tornò', 'sola']",3,False
1º,Claudio Villa - Tullio Pane,Buongiorno tristezza,1955,G. Fiorelli e M. Ruccione,G,"['buongiorno', 'tristezza']",1,False
2º,Claudio Villa - Tullio Pane,Il torrente,1955,C. A. Liman e L. Carmi,G,['torrente'],2,False
3º,"Natalino Otto e Trio Aurora - Bruno Pallesi, Nuccia Bongiovanni e Radio Boys",Canto nella valle,1955,M. Panzeri e U. Fusco,G,"['canto', 'valle']",3,False
1º,Franca Raimondi,Aprite le finestre,1956,Pinchi e V. Panzuti,F,"['aprite', 'finestre']",1,False
