Posizione,Interprete,Canzone,anno,Autori,Sesso,Tematiche,Pos,FlagAmore
1º,Nilla Pizzi,Grazie dei fiori,1951,Gian Carlo Testoni e Mario Panzeri,F,"['grazie', 'fiori']",1,False
1º,Nilla Pizzi,Vola Colomba,1952,B. Cherubini e C. Concina,F,"['vola', 'colomba']",1,False
1º,Carla Boni - Flo Sandon's,Viale d'autunno,1953,G. D'Anzi,G,"['viale', 'autunno']",1,False
1º,Giorgio Consolini - Gino Latilla,Tutte le mamme,1954,U. Bertini e E. Falcocchio,G,['mamme'],1,False
1º,Claudio Villa - Tullio Pane,Buongiorno tristezza,1955,G. Fiorelli e M. Ruccione,G,"['buongiorno', 'tristezza']",1,False
1º,Franca Raimondi,Aprite le finestre,1956,Pinchi e V. Panzuti,F,"['aprite', 'finestre']",1,False
1º,Claudio Villa - Nunzio Gallo,Corde della mia chitarra,1957,G. Fiorelli e M. Ruccione,G,"['corde', 'chitarra']",1,False
1º,Domenico Modugno - Johnny Dorelli,Nel blu dipinto di blu,1958,D. Modugno e F. Migliacci,G,"['blu', 'dipinto', 'blu']",1,False
1º,Domenico Modugno - Johnny Dorelli,Piove (ciao ciao bambina),1959,D. Modugno e D. Verde,G,"['piove', 'bambina']",1,False
1º,Tony Dallara - Renato Rascel,Romantica,1960,D. Verde e R. Rascel,G,['romantica'],1,False
1º,Betty Curtis - Luciano Tajoli,Al di là,1961,Mogol - Donida,G,['là'],1,False
1º,Domenico Modugno - Claudio Villa,Addio...addio...,1962,F. Migliacci e D. Modugno,G,"['addio', 'addio']",1,False
1º,Tony Renis - Emilio Pericoli,Uno per tutte,1963,"Mogol, A. Testa e T. Renis",G,[],1,False
1º,Gigliola Cinquetti - Patricia Carli,Non ho l'età (Per amarti),1964,"M. Panzeri, Nisa, G. Colonnello",G,"['età', 'amarti']",1,False
1º,Bobby Solo - The New Christy Minstrels,"Se piangi, se ridi",1965,"Mogol, G. Marchetti, R. Satti",G,"['piangi', 'ridi']",1,False
1º,Domenico Modugno - Gigliola Cinquetti,"Dio, come ti amo",1966,D. Modugno,G,"['dio', 'amo']",1,False
1º,Claudio Villa - Iva Zanicchi,Non pensare a me,1967,A. Testa e E. Sciorilli,G,['pensare'],1,False
1º,Sergio Endrigo - Roberto Carlos,Canzone per te,1968,"S. Endrigo, S. Bardotti",G,['canzone'],1,False
1º,Bobby Solo - Iva Zanicchi,Zingara,1969,L. Albertelli e E. Riccardi,G,['zingara'],1,False
1º,Adriano Celentano - Claudia Mori,Chi non lavora non fa l'amore,1970,"L. Beretta, M. Del Prete, A. Celentano, N. de Luca",G,"['lavora', 'fa', 'amore']",1,True
1º,Nada - Nicola Di Bari,Il cuore è uno zingaro,1971,F. Migliacci e C. Mattone,G,"['cuore', 'zingaro']",1,False
1º,Nicola Di Bari,I giorni dell'arcobaleno,1972,"M. Scommegna, D. Masini, P. Pintucci",M,"['giorni', 'dell', 'arcobaleno']",1,False
1º,Peppino Di Capri,Un grande amore e niente più,1973,"F. Califano, G. Wright, G. Faiella, C. Mattone",M,['amore'],1,True
1º,Iva Zanicchi,Ciao cara come stai?,1974,"C. Malgioglio, C. Daiano, Dinaro e I. Ianne",F,"['cara', 'stai']",1,False
1,Gilda,Ragazza del sud,1975,R. Scalabrino,F,"['ragazza', 'sud']",1,False
