Words,Frequency
amore,89
vita,29
sole,23
canzone,22
cuore,22
mondo,18
mare,17
uomo,15
musica,15
notte,15
occhi,13
giorno,13
cielo,13
luna,13
via,12
casa,12
donna,11
prima,11
blu,11
sarà,10
sempre,10
adesso,10
volta,10
ora,10
va,10
addio,9
sera,9
amo,9
italia,9
vorrei,9
fai,9
dell,9
ancora,8
oggi,8
rose,8
sola,8
parole,8
c,8
era,8
fa,8
tempo,8
poi,8
amare,7
donne,7
cara,7
perché,7
tango,7
vento,7
terra,7
cose,7
bene,7
anima,7
ragazza,6
sogni,6
vivo,6
male,6
stelle,6
sotto,6
vai,6
ha,6
dove,6
ogni,6
volte,6
anni,6
forte,5
ragazzi,5
ragazzo,5
amori,5
innamorato,5
dio,5
stella,5
sorriso,5
dimmi,5
ami,5
canto,5
età,5
morire,5
bacio,5
ultimo,5
piccola,5
speranza,5
domani,5
hai,5
buona,5
cammina,5
storia,5
vivere,5
luce,5
giorni,5
serenata,4
sai,4
andare,4
vado,4
bisogno,4
basta,4
inverno,4
dire,4
mistero,4
volo,4
giovane,4
madre,4
piccolo,4
posto,4
canta,4
voce,4
baci,4
pioggia,4
italiano,4
re,4
caffè,4
lontano,4
cantare,4
dov,4
roma,4
stai,4
lettera,4
dolce,4
felice,4
aria,4
angelo,4
bambina,4
primavera,4
credo,4
attimo,4
siamo,4
padre,4
uomini,4
nome,4
sogno,4
amarti,4
soli,4
manchi,4
libera,4
angeli,4
finalmente,4
dentro,4
nero,4
fammi,4
finisce,4
vuoi,4
primo,4
stiamo,4
destino,4
fiore,4
sì,4
rosa,4
mani,4
grazie,3
napoli,3
alba,3
fiori,3
madonna,3
invece,3
pensare,3
viso,3
dirti,3
sa,3
insieme,3
viaggio,3
amami,3
paradiso,3
the,3
nessun,3
allora,3
dedicato,3
prego,3
bianca,3
com,3
amor,3
lucia,3
volare,3
nuovo,3
fortuna,3
futuro,3
fatti,3
tre,3
sull,3
acqua,3
felicità,3
poesia,3
guardami,3
nanna,3
vecchio,3
autunno,3
strada,3
ahi,3
son,3
diario,3
ricordi,3
canterò,3
dammi,3
fare,3
passa,3
so,3
bar,3
liberi,3
uguali,3
bianchi,3
città,3
portami,3
là,3
mille,3
gente,3
poco,3
verso,3
film,3
serena,3
piange,3
amico,3
elisa,3
tutta,3
sta,3
bianco,3
po,3
baciami,3
storie,3
miracolo,3
farò,3
troppo,3
arriva,3
sing,3
fatto,3
verrà,3
fossi,3
amici,3
colpa,3
tanto,3
oro,3
può,3
ad,3
finestra,2
parlo,2
inferno,2
belle,2
all,2
essere,2
devi,2
vieni,2
parlami,2
darò,2
cieli,2
sesso,2
buonanotte,2
aspetta,2
abbracciami,2
piangi,2
passo,2
posso,2
viene,2
volevo,2
margherita,2
cura,2
milione,2
1,2
armonia,2
miele,2
torno,2
maria,2
doce,2
nell,2
almeno,2
idea,2
valle,2
piove,2
paese,2
piace,2
dirsi,2
cos,2
signora,2
linda,2
bocca,2
stessa,2
lì,2
sud,2
pensa,2
monica,2
coraggio,2
modo,2
paura,2
garibaldi,2
bane,2
perderti,2
splende,2
vero,2
mezzanotte,2
colpevole,2
libero,2
na,2
notturno,2
barca,2
soldi,2
mamme,2
povero,2
mamma,2
favola,2
penso,2
forza,2
cambiano,2
ballare,2
canzoni,2
straniera,2
mandolino,2
nostalgia,2
figli,2
brividi,2
giardino,2
estasi,2
you,2
york,2
new,2
fragole,2
santa,2
anna,2
arcobaleno,2
preghiera,2
ricomincerei,2
cane,2
ama,2
freddo,2
innamorarmi,2
santo,2
ritorno,2
andata,2
buio,2
centomila,2
vecchia,2
porto,2
sento,2
respiro,2
luca,2
crescerai,2
balla,2
stato,2
porta,2
cavallo,2
stanotte,2
blue,2
quel,2
hop,2
moglie,2
passerà,2
buongiorno,2
gioia,2
davvero,2
strade,2
tempesta,2
verdi,2
accidenti,2
blues,2
romantico,2
meglio,2
treno,2
lasciami,2
tram,2
ninna,2
verità,2
eterno,2
est,2
perfetto,2
dimentico,2
fine,2
lacrime,2
rossi,2
innamorati,2
colori,2
neri,2
love,2
my,2
momento,2
strano,2
chitarra,2
fotografia,2
italiana,2
faccia,2
mo,2
importante,2
tobia,2
mon,2
rosso,2
farfalla,2
inghilterra,2
innamoro,2
m,2
azzurri,2
nasce,2
piano,2
spalle,2
rivoluzione,2
forever,2
terzo,2
forse,2
respirare,2
ovunque,2
bastardo,2
infinito,2
bellissimo,2
crudele,2
ore,2
generale,2
immenso,2
amaro,2
zucchero,2
penserò,2
tonight,2
latta,2
trenino,2
bello,2
nota,2
albero,2
bosco,2
biancaneve,2
matto,2
stasera,2
vedrai,2
dimenticarti,2
perdere,2
disco,2
colomba,2
vola,2
secondo,2
22,2
chiamami,2
unico,2
mezzo,2
abbi,2
perse,1
veste,1
arnica,1
trovo,1
fiamme,1
farmacista,1
marinella,1
piaci,1
glicine,1
pop,1
combat,1
nera,1
potevi,1
dieci,1
locura,1
colore,1
genesi,1
leggerissima,1
colline,1
valentina,1
vienna,1
cima,1
giudicare,1
incontrare,1
caso,1
fiato,1
manca,1
splash,1
italy,1
made,1
dette,1
supereroi,1
cenere,1
vite,1
bum,1
pafff,1
vincente,1
carta,1
crederti,1
gluck,1
dipendesse,1
dios,1
de,1
buena,1
partito,1
belli,1
fronte,1
amarci,1
cominciamo,1
vedrà,1
credi,1
saper,1
bisogna,1
finita,1
proposta,1
dico,1
cercherai,1
finisse,1
ballo,1
riva,1
vederti,1
ridi,1
chilometri,1
venti,1
pizza,1
sorrisi,1
fiducia,1
aver,1
spera,1
ragazzina,1
quant,1
vedere,1
immensità,1
lacrima,1
piccolissimo,1
sabato,1
motivo,1
incontro,1
incontrato,1
ieri,1
potrei,1
pietre,1
pedone,1
ballata,1
fermate,1
sapevo,1
venisti,1
bambino,1
tramontana,1
deborah,1
pazzo,1
tetti,1
sopra,1
vedrò,1
svegliarmi,1
cammino,1
guardati,1
gi,1
sorridi,1
solite,1
bartolomeo,1
opere,1
impazzita,1
vale,1
silenzio,1
sentirai,1
siepe,1
importa,1
fermare,1
rivoltato,1
cappotto,1
passerai,1
vuol,1
voci,1
gioco,1
pesca,1
lumicini,1
pezzo,1
ombrellone,1
anellino,1
cipressi,1
perdonarsi,1
ricorda,1
costa,1
amour,1
vestita,1
aprile,1
anch,1
pesco,1
zingara,1
tipitipitì,1
taxi,1
diglielo,1
pa,1
spada,1
eternità,1
noè,1
arca,1
lavora,1
famiglia,1
piangere,1
tramontato,1
messo,1
bada,1
diventa,1
avventura,1
andava,1
park,1
gondolà,1
gondolì,1
lenzuola,1
1943,1
marzo,1
4,1
zingaro,1
mandorla,1
nevicava,1
stagione,1
fermo,1
effetto,1
cuori,1
hippy,1
antonio,1
giusta,1
schiaffo,1
dirigibile,1
amsterdam,1
corsa,1
folle,1
13,1
sereni,1
cristalli,1
inutili,1
conta,1
inventiamo,1
aspettandoti,1
cipria,1
leggera,1
benzina,1
cercasi,1
adorabile,1
mediterraneo,1
ciliegie,1
diadema,1
bebè,1
caro,1
gira,1
piazza,1
montagne,1
jesahel,1
lavorare,1
denari,1
viole,1
francisco,1
gatto,1
